 日期 , 时间 , 纬度方向 , 纬度／度 , 经度方向, 经度／度 , 航向／度 ，海拔／米 ,速度/km/h , 卫星颗数／颗
2017年05月10日,9时34分1秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分2秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分3秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分4秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分5秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分6秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分7秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分8秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分9秒，   4047.622, N,  11141.734, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分10秒，   4047.622, N,  11141.734, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时34分11秒，   4047.623, N,  11141.734, E, 338.0, 1058, 1.85, 10
2017年05月10日,9时34分12秒，   4047.623, N,  11141.734, E, 338.0, 1058, 1.85, 10
2017年05月10日,9时34分13秒，   4047.623, N,  11141.734, E, 338.0, 1058, 1.85, 10
2017年05月10日,9时34分14秒，   4047.624, N,  11141.734, E, 338.0, 1058, 3.70, 10
2017年05月10日,9时34分15秒，   4047.624, N,  11141.733, E, 339.1, 1058, 5.56, 10
2017年05月10日,9时34分16秒，   4047.626, N,  11141.733, E, 340.7, 1058, 1.85, 10
2017年05月10日,9时34分17秒，   4047.626, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分18秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分19秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分20秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 09
2017年05月10日,9时34分21秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 09
2017年05月10日,9时34分22秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 09
2017年05月10日,9时34分23秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 08
2017年05月10日,9时34分24秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分25秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 09
2017年05月10日,9时34分26秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 09
2017年05月10日,9时34分27秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 09
2017年05月10日,9时34分28秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分29秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分30秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分31秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分32秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分33秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分34秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分35秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分36秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分37秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分38秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分39秒，   4047.627, N,  11141.733, E, 340.7, 1058, 0.00, 10
2017年05月10日,9时34分40秒，   4047.627, N,  11141.733, E, 337.5, 1058, 0.00, 10
2017年05月10日,9时34分41秒，   4047.627, N,  11141.733, E, 349.7, 1057, 0.00, 10
2017年05月10日,9时34分42秒，   4047.627, N,  11141.733, E, 348.5, 1057, 0.00, 10
2017年05月10日,9时34分43秒，   4047.627, N,  11141.733, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时34分44秒，   4047.628, N,  11141.732, E, 348.9, 1058, 1.85, 10
2017年05月10日,9时34分45秒，   4047.628, N,  11141.732, E, 340.0, 1057, 1.85, 10
2017年05月10日,9时34分46秒，   4047.628, N,  11141.732, E, 341.0, 1057, 1.85, 10
2017年05月10日,9时34分47秒，   4047.629, N,  11141.731, E, 341.4, 1057, 3.70, 09
2017年05月10日,9时34分48秒，   4047.630, N,  11141.731, E, 339.1, 1057, 7.41, 09
2017年05月10日,9时34分49秒，   4047.631, N,  11141.729, E, 337.8, 1057, 9.26, 09
2017年05月10日,9时34分50秒，   4047.633, N,  11141.729, E, 337.0, 1057, 12.96, 09
2017年05月10日,9时34分51秒，   4047.635, N,  11141.727, E, 336.4, 1058, 12.96, 09
2017年05月10日,9时34分52秒，   4047.637, N,  11141.726, E, 335.9, 1058, 14.82, 09
2017年05月10日,9时34分53秒，   4047.640, N,  11141.724, E, 335.1, 1058, 16.67, 09
