 日期 , 时间 , 纬度方向 , 纬度／度 , 经度方向, 经度／度 , 航向／度 ，海拔／米 ,速度/km/h , 卫星颗数／颗
2017年05月10日,9时41分57秒，   4048.120, N,  11141.443, E, 164.9, 1044, 22.22, 10
2017年05月10日,9时41分58秒，   4048.117, N,  11141.444, E, 163.9, 1044, 20.37, 10
2017年05月10日,9时41分59秒，   4048.114, N,  11141.446, E, 162.8, 1044, 20.37, 10
2017年05月10日,9时42分0秒，   4048.111, N,  11141.447, E, 162.7, 1043, 20.37, 10
2017年05月10日,9时42分1秒，   4048.108, N,  11141.448, E, 162.0, 1043, 20.37, 10
2017年05月10日,9时42分2秒，   4048.105, N,  11141.450, E, 161.3, 1043, 20.37, 10
2017年05月10日,9时42分3秒，   4048.102, N,  11141.451, E, 160.7, 1042, 20.37, 09
2017年05月10日,9时42分4秒，   4048.098, N,  11141.452, E, 161.0, 1042, 20.37, 10
2017年05月10日,9时42分5秒，   4048.096, N,  11141.453, E, 171.4, 1042, 18.52, 10
2017年05月10日,9时42分6秒，   4048.093, N,  11141.453, E, 187.2, 1042, 16.67, 10
2017年05月10日,9时42分7秒，   4048.091, N,  11141.452, E, 199.6, 1041, 16.67, 10
2017年05月10日,9时42分8秒，   4048.088, N,  11141.451, E, 215.7, 1041, 14.82, 10
2017年05月10日,9时42分9秒，   4048.087, N,  11141.449, E, 229.1, 1041, 12.96, 10
2017年05月10日,9时42分10秒，   4048.086, N,  11141.446, E, 243.3, 1041, 14.82, 10
2017年05月10日,9时42分11秒，   4048.085, N,  11141.443, E, 245.2, 1042, 16.67, 10
2017年05月10日,9时42分13秒，   4048.083, N,  11141.436, E, 253.7, 1042, 14.82, 10
2017年05月10日,9时42分14秒，   4048.082, N,  11141.433, E, 252.7, 1042, 14.82, 10
2017年05月10日,9时42分14秒，   4048.082, N,  11141.433, E, 252.7, 1041, 14.82, 10
2017年05月10日,9时42分15秒，   4048.081, N,  11141.431, E, 252.0, 1041, 12.96, 10
2017年05月10日,9时42分16秒，   4048.081, N,  11141.428, E, 248.9, 1041, 12.96, 10
2017年05月10日,9时42分18秒，   4048.079, N,  11141.423, E, 250.0, 1041, 12.96, 10
2017年05月10日,9时42分18秒，   4048.079, N,  11141.423, E, 250.0, 1041, 12.96, 10
2017年05月10日,9时42分20秒，   4048.078, N,  11141.419, E, 251.7, 1041, 9.26, 10
2017年05月10日,9时42分20秒，   4048.078, N,  11141.419, E, 251.7, 1042, 9.26, 10
2017年05月10日,9时42分21秒，   4048.077, N,  11141.417, E, 251.9, 1042, 5.56, 10
2017年05月10日,9时42分23秒，   4048.076, N,  11141.414, E, 258.6, 1042, 7.41, 10
2017年05月10日,9时42分23秒，   4048.076, N,  11141.414, E, 258.6, 1042, 7.41, 10
2017年05月10日,9时42分24秒，   4048.076, N,  11141.413, E, 256.9, 1042, 5.56, 10
2017年05月10日,9时42分26秒，   4048.075, N,  11141.411, E, 253.5, 1042, 5.56, 10
2017年05月10日,9时42分26秒，   4048.075, N,  11141.411, E, 253.5, 1043, 5.56, 10
2017年05月10日,9时42分28秒，   4048.075, N,  11141.408, E, 249.8, 1043, 5.56, 10
2017年05月10日,9时42分28秒，   4048.075, N,  11141.408, E, 249.8, 1044, 5.56, 10
2017年05月10日,9时42分30秒，   4048.074, N,  11141.404, E, 250.6, 1044, 5.56, 10
2017年05月10日,9时42分31秒，   4048.074, N,  11141.402, E, 252.0, 1044, 5.56, 10
2017年05月10日,9时42分32秒，   4048.075, N,  11141.401, E, 255.6, 1045, 5.56, 10
2017年05月10日,9时42分32秒，   4048.075, N,  11141.401, E, 255.6, 1045, 5.56, 10
2017年05月10日,9时42分33秒，   4048.076, N,  11141.400, E, 260.9, 1046, 7.41, 10
2017年05月10日,9时42分35秒，   4048.078, N,  11141.400, E, 354.6, 1046, 3.70, 10
2017年05月10日,9时42分35秒，   4048.078, N,  11141.400, E, 354.6, 1047, 3.70, 10
2017年05月10日,9时42分37秒，   4048.079, N,  11141.401, E, 354.6, 1047, 3.70, 10
2017年05月10日,9时42分37秒，   4048.079, N,  11141.401, E, 354.6, 1047, 3.70, 10
2017年05月10日,9时42分39秒，   4048.080, N,  11141.402, E, 354.6, 1048, 3.70, 10
2017年05月10日,9时42分39秒，   4048.080, N,  11141.402, E, 354.6, 1048, 3.70, 10
2017年05月10日,9时42分40秒，   4048.080, N,  11141.403, E, 354.6, 1048, 1.85, 10
2017年05月10日,9时42分41秒，   4048.080, N,  11141.403, E, 354.6, 1049, 1.85, 10
2017年05月10日,9时42分42秒，   4048.080, N,  11141.404, E, 354.6, 1049, 1.85, 10
2017年05月10日,9时42分44秒，   4048.080, N,  11141.405, E, 354.6, 1049, 1.85, 10
2017年05月10日,9时42分44秒，   4048.080, N,  11141.405, E, 354.6, 1049, 1.85, 10
2017年05月10日,9时42分45秒，   4048.081, N,  11141.405, E, 354.6, 1049, 1.85, 10
2017年05月10日,9时42分47秒，   4048.081, N,  11141.407, E, 354.6, 1049, 1.85, 10
2017年05月10日,9时42分47秒，   4048.081, N,  11141.407, E, 354.6, 1049, 1.85, 10
2017年05月10日,9时42分49秒，   4048.081, N,  11141.407, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分50秒，   4048.081, N,  11141.407, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分50秒，   4048.081, N,  11141.407, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分52秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分53秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分53秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分55秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分56秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分56秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分58秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时42分58秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 10
2017年05月10日,9时43分0秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分0秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分2秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分3秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分3秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分5秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分5秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分6秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分7秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分9秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分10秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
2017年05月10日,9时43分10秒，   4048.081, N,  11141.408, E, 354.6, 1050, 0.00, 09
